Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2000_gdp,2001_gdp,2002_gdp,2003_gdp,2004_gdp,2005_gdp,2006_gdp,2007_gdp,2008_gdp,2009_gdp,2010_gdp,2011_gdp,2012_gdp,2013_gdp,2014_gdp,2015_gdp,2016_gdp,2017_gdp,2018_gdp,2019_gdp
Argentina,280308.99,276902.60,269315.64,286381.63,298167.36,307492.67,321462.03,335854.13,331802.17,322554.23,300695.19,310314.53,310670.24,321011.89,322554.61,..,..,..,..,..,284.20,268.70,97.72,127.59,164.66,198.74,232.56,287.53,361.56,332.98,423.63,530.16,545.98,552.03,526.32,594.75,557.53,643.63,524.82,451.93
Australia,487777.76,495604.31,499190.49,500599.96,517726.51,524211.49,528038.42,534417.84,537262.31,540381.62,535549.22,537205.50,539511.06,530311.91,524709.40,533063.83,542287.87,549330.02,549731.94,545152.52,415.58,379.08,395.34,467.39,614.17,695.08,747.56,853.96,1060.00,928.04,1150.00,1400.00,1550.00,1580.00,1470.00,1350.00,1210.00,1330.00,1430.00,1390.00
Austria,80129.43,84064.72,85815.06,91306.72,90985.23,92147.29,89728.78,86983.94,86440.21,79779.07,84336.72,82127.03,79432.38,79817.17,76238.67,78462.23,79471.01,81862.50,78627.64,79842.25,196.80,197.34,213.38,261.70,300.90,315.97,336.00,388.69,430.29,400.17,391.89,431.12,409.43,430.07,442.00,381.82,395.57,416.23,454.95,445.01
Belarus,79717.08,79870.11,78363.79,80448.44,84704.15,86798.69,90642.09,90117.01,92953.37,88814.49,90694.80,90342.30,91370.71,92264.23,91040.70,85975.45,87745.02,88542.20,89064.61,90115.70,12.74,12.35,14.59,17.83,23.14,30.21,39.65,45.28,60.76,50.87,57.22,61.76,65.69,75.53,78.81,56.45,47.72,54.73,60.03,64.41
Belgium,148882.93,147324.61,147412.69,147713.45,148554.79,145561.70,142720.48,139071.66,138980.22,126325.02,133633.52,123134.28,120385.71,120443.49,114732.00,118959.98,117689.18,117424.30,117894.74,116651.49,236.20,236.54,257.16,317.38,368.54,385.57,407.92,470.32,515.22,481.35,480.95,522.65,496.18,521.64,534.68,462.15,475.74,501.52,543.01,535.29
Brazil,725162.14,744084.15,760963.10,778785.71,815887.21,830176.87,837355.38,843618.61,872592.78,858585.47,921055.10,954163.29,985944.61,1030985.67,1062897.04,1041676.99,1014702.38,..,..,..,655.45,559.98,509.80,558.23,669.29,891.63,1110.00,1400.00,1700.00,1670.00,2210.00,2620.00,2470.00,2470.00,2460.00,1800.00,1800.00,2060.00,1920.00,1880.00
Bulgaria,57864.27,60776.88,58130.23,62940.28,62109.50,62714.87,63377.10,67307.94,65996.59,57163.97,59796.37,65071.43,60087.12,54893.92,57987.87,61338.35,58800.91,61148.47,57281.77,55955.28,13.25,14.18,16.40,21.14,26.16,29.87,34.38,44.41,54.44,52.02,50.68,57.68,54.30,55.81,57.08,50.78,53.95,59.20,66.36,68.92
Canada,733511.34,722935.01,726555.18,744831.89,745919.78,738718.60,730101.94,751661.27,735692.85,693597.90,702802.75,714078.51,717172.39,725371.84,722557.67,723096.02,706933.91,716092.01,728475.89,730244.94,744.77,738.98,760.65,895.54,1030.00,1170.00,1320.00,1470.00,1550.00,1370.00,1620.00,1790.00,1830.00,1850.00,1810.00,1560.00,1530.00,1650.00,1730.00,1740.00
Chile,73001.38,71105.38,72364.80,73100.83,79173.64,80296.41,82822.36,91553.25,91393.91,88098.22,87942.08,96508.95,102424.84,102678.36,99268.13,106342.22,110156.04,111215.64,112312.62,..,77.86,70.98,69.74,75.64,99.21,122.96,154.79,173.61,179.64,172.39,218.54,252.25,267.12,278.38,260.54,243.92,250.44,277.03,297.57,279.39
China (People's Republic of),..,..,..,..,..,8015000.00,..,..,..,..,10543331.00,..,11895765.00,..,12300200.00,..,..,..,..,..,1210.00,1340.00,1470.00,1660.00,1960.00,2290.00,2750.00,3550.00,4590.00,5100.00,6090.00,7550.00,8530.00,9570.00,10480.00,11060.00,11230.00,12310.00,13890.00,14280.00
